Año;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.15;50.0;4.0;No;Si;No;No;No;Si;No;No;13.5321235;-88.429579;537;0.00;Si;Si;No;Si;Si;Si;0.5808;3.2
1;Mujer;0.35;200.0;5.0;No;Si;No;No;No;No;No;No;13.527761;-88.448281;573;0.00;Si;Si;No;Si;Si;Si;0.18568;1.0252
1;Hombre;0.4;400.0;8.0;Si;No;No;Si;No;No;No;Si;13.280707;-88.749472;10;0.00;Si;Si;Si;Si;No;Si;0.63888;3.35
1;Hombre;2.5;1500.0;5.0;No;Si;No;No;No;No;No;No;13.5196594;-88.821027;267;0.00;Si;Si;Si;Si;Si;Si;1.24256;10.85
1;Hombre;0.72;800.0;5.0;No;No;No;No;Si;Si;No;No;13.34170833;-88.61497333;28;0.00;Si;Si;Si;No;No;Si;0.87296;4.49
1;Hombre;4;3950.0;5.7;Si;No;No;Si;No;No;No;Si;13.348937;-88.735581;10;15.82;Si;Si;Si;Si;Si;No;1.1616;14.25
1;Mujer;0.35;400.0;5.0;No;Si;No;No;No;No;Si;No;13.7071155;-88.933568;787;0.00;Si;Si;No;Si;No;Si;0.18744;1.32
1;Hombre;1.75;1700.0;4.0;No;Si;No;No;No;Si;No;No;13.931565;-89.568684;857;0.00;Si;Si;Si;Si;Si;No;3.2516;9.29808
1;Hombre;2.5;2350.0;26.4;No;Si;No;No;No;No;No;No;13.61681;-88.91105333;716;0.00;Si;Si;Si;Si;Si;Si;0.45672;17.23
1;Hombre;0.7;300.0;6.0;No;Si;No;No;No;No;No;No;13.510797;-88.435995;685;0.00;Si;Si;Si;Si;Si;Si;0.06072;1.06
1;Hombre;0.09;100.0;5.0;No;Si;No;No;No;No;No;No;13.3888924;-88.416754;209;0.00;Si;Si;No;No;Si;Si;0.5544;3.15
